file,date,Label,ID_TUBE,Treatment,Landscape,Replicate,Size,Composition,indiv_per_frame,indiv_per_ul,bioarea_per_frame,bioarea_per_ul,major_mean,major_sd,minor_mean,minor_sd,gross_speed_mean,gross_speed_sd,net_speed_mean,net_speed_sd,sd_turning_mean,Rot,Spi,Ble,Pca,Col,Chi,Tet,Other
sample_00254,5/9/2016,254,254bB,Isolated,Blue,B,7.5,mixture,70.832,2.059069767,49311.1152,1433.462651,66.35356589,59.34870957,29.48683376,15.09994933,187.3570877,131.6830832,95.6508805,143.1828852,0.621761006,0.851395349,0.215581395,0.182325581,0.078837209,0.035813953,0.677906977,0,0.017209302
sample_00255,5/9/2016,255,255bB,Isolated,Blue,B,7.5,mixture,53.736,1.562093023,30249.5472,879.3473023,60.25530134,48.90495642,29.22793585,16.97144712,210.5631616,165.6082881,115.5634783,177.868545,0.677536232,0.599534884,0.101162791,0.004418605,0.177906977,0,0.651627907,0.009767442,0.017674419
sample_00256,5/9/2016,256,256bB,Isolated,Blue,B,7.5,mixture,53.32,1.55,34008.7896,988.6276047,67.72143966,65.01879738,28.07564755,14.02631942,182.793755,106.0899594,84.27276119,108.9553413,0.67858209,0.557674419,0.165813953,0.113255814,0.100930233,0.041860465,0.557209302,0.003488372,0.009767442
sample_00257,5/9/2016,257,257bB,Isolated,Blue,B,7.5,mixture,46.272,1.345116279,21060.2268,612.2158953,48.02995143,42.66635198,24.48538679,14.45938694,190.4054862,124.2218326,91.1644186,132.1186908,0.706356589,0.304651163,0.028837209,0.115581395,0.124418605,0.034418605,0.725116279,0,0.012093023
sample_00258,5/9/2016,258,258bB,Isolated,Blue,B,7.5,mixture,41.512,1.206744186,25015.6836,727.2001047,60.46341708,74.22147052,24.60472187,12.61668419,183.4063688,104.7414269,93.57678571,121.4017322,0.640892857,0.468139535,0.113255814,0,0.033023256,0.023023256,0.556511628,0.005581395,0.007209302
sample_00259,5/9/2016,259,259bB,Isolated,Blue,B,7.5,mixture,39.144,1.137906977,33026.1624,960.0628605,82.29606605,55.00021852,34.72476213,14.01838532,210.8218936,86.87487404,139.3945556,99.80814571,0.632666667,0.51744186,0.041395349,0.129534884,0.209302326,0.07372093,0.153255814,0.005116279,0.008139535
sample_00260,5/9/2016,260,260bB,Isolated,Blue,B,13,mixture,38.216,1.110930233,24696.252,717.9143023,65.40259359,49.92567157,28.95361475,13.78269688,192.7274969,161.0136684,110.1325843,177.9654283,0.623595506,0.66372093,0.107209302,0.026976744,0.032093023,0.016046512,0.258837209,0.006046512,0
sample_00261,5/9/2016,261,261bB,Isolated,Blue,B,7.5,mixture,41.144,1.196046512,26677.0908,775.4968256,65.16208872,62.94239153,28.19010164,14.08382518,199.3800568,150.4535817,124.401134,166.2466696,0.679587629,0.416511628,0.067906977,0.058139535,0.143488372,0.029069767,0.420697674,0.060232558,0
sample_00262,5/9/2016,262,262bB,Isolated,Blue,B,13,mixture,48.68,1.415116279,38077.4196,1106.901733,78.33679355,65.64618638,30.2532181,14.72388874,227.2445601,167.5646721,146.5505691,182.0622328,0.64398374,0.498139535,0.115116279,0.169767442,0.214883721,0.010465116,0.364883721,0.038604651,0.003255814
sample_00263,5/9/2016,263,263bB,Isolated,Blue,B,7.5,mixture,36.576,1.063255814,20158.6968,586.0086279,54.47832088,41.69374588,26.52468004,12.69520227,169.8292183,103.4572059,95.35483516,117.048876,0.728241758,0.354651163,0.024651163,0.089767442,0.10372093,0.058139535,0.379069767,0.037674419,0.015581395
sample_00264,5/9/2016,264,264bB,Isolated,Blue,B,13,mixture,47.68,1.386046512,39291.2208,1142.186651,75.23599308,65.13925904,30.86596004,15.17750042,203.5565148,138.7154397,130.3439252,153.5823519,0.69,0.725348837,0.190930233,0.065581395,0.104651163,0,0.294186047,0.005348837,0
